"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Design of Appropriate Technology-Assisted Urine Tester Enabling Remote and Long-Term Monitoring of Health Conditions","https://scispace.com/paper/design-of-appropriate-technology-assisted-urine-tester-528wxs7ku4","2020","Journal Article","Sustainability","Hyun-Kyung Lee
Jeong-Hyeon Bae","10.3390/SU12125165","https://www.mdpi.com/2071-1050/12/12/5165/pdf","A novel design idea supported by affordable design processes can address unresolved social problems such as the imbalance of opportunity in healthcare services, owing to high costs and a lack of access We designed an appropriate technology-assisted urine tester to provide healthcare services for the elderly and underprivileged in order to monitor their health conditions daily and remotely help them determine whether to visit hospitals/clinics for in-depth diagnoses To minimize production costs, we used a charge-coupled device camera for colorimetric-type urine analysis in conjunction with commercially available urine test strips; all other electronic components were mass-produced We calibrated this urine tester and compared it with a commercially available high-end tester; the results showed high accuracy for most urine compounds We verified its major device functions by recruiting four participants who tested their urine over four weeks and provided self-surveys of their health conditions The proposed tester demonstrates a low price-to-performance ratio with high reliability, while its production and maintenance costs are as low as 20 USD per set We focused on a human-centered technological approach from a simple and innovative design point of view in order to serve people and healthcare providers in an affordable way We believe that the tester can be widely distributed, exemplifying appropriate technological application for those who require, but cannot enjoy, proper medical services, thereby improving social healthcare sustainability","An appropriate technology-assisted urine tester to provide healthcare services for the elderly and underprivileged in order to monitor their health conditions daily and remotely help them determine whether to visit hospitals/clinics for in-depth diagnoses."
"Colorimetry-based and smartphone-assisted machine-learning model for quantification of urinary albumin","https://scispace.com/paper/colorimetry-based-and-smartphone-assisted-machine-learning-4ybmut6gcb","2023","Journal Article","Measurement Science and Technology","Sunita Bhatt
Sunil Kumar
Mitesh Kumar Gupta
Sudip Kumar Datta
S. Dubey","10.1088/1361-6501/acfd4c","","The presence of albumin in the urine is indicative of kidney damage and can occur due to several underlying conditions, such as diabetes. The concentration of albumin in urine is used for the diagnosis and staging of chronic kidney disease (CKD). In clinical samples, the detection of albumin at lower concentrations is crucial for the early diagnosis and monitoring of CKD. Current urine analyzers precisely quantify albumin but are expensive and difficult to use in point-of-care (PoC) settings. Here, we demonstrate the quantification of albumin concentration in a urine sample using colorimetry. This model presents an accessory-free urine analyzer that uses a smartphone and customized machine-learning algorithms. Here, a urine sample is introduced onto a chemically impregnated dipstick that exhibits a change in color with the amount of albumin. Images of the urine dipsticks are captured using a smartphone camera under different illumination/experimental conditions and are processed to extract changes in the color values arising due to changes in the concentration of urinary albumin. Albumin concentrations are estimated from changes in color values. We used customized machine-learning algorithms to classify albumin concentrations and mitigate the effect of ambient light conditions. The k-nearest neighbor algorithm yielded an average classification accuracy of 96% with a detection limit of 4 mg l−1. The proposed scheme can be extensively used to monitor albumin concentration in PoC settings.","This model presents an accessory-free urine analyzer that uses a smartphone and customized machine-learning algorithms to classify albumin concentrations and mitigate the effect of ambient light conditions."
"Lab-in-a-Cup (LiC): An autonomous fluidic device for daily urinalysis using smartphone","https://scispace.com/paper/lab-in-a-cup-lic-an-autonomous-fluidic-device-for-daily-3rvzrdt8","2022","Journal Article","Sensors and Actuators B-chemical","Yangziyi Jin","10.1016/j.snb.2021.131336","","Since urine can be collected noninvasively, a wide range of biomarkers found in urine makes urinalysis well suited for continuous routine health screening. Although there has been amazing progress in automated urine analyzers, they are laboratory-centered and still suffer from labor-involved sample processing and analysis being infeasible for routine healthcare. To facilitate routine healthcare, this work presents a cost-effectively implemented lab-in-a-Cup (LiC) hybrid urinalyzer developed using a disposable plastic cup in association with conventional paper-based urine sensors. Since the sensor pad is precisely fixed with the bottom of the cup, the small gap between the sensor pad and cup surface leads to the limited diffusion of urine which results in the stable, reproducible, repeatable data and sample volume-irrelevant measurement. To characterize the urine sample in the cup, a smartphone application with an image recognition algorithm has been developed and applied that automatizes the entire analysis procedures enabling it for routine healthcare without relying on the manual color scheme. The device was successfully applied for investigating a number of urinary biomarkers such as glucose, pH, protein, and red blood cell (RBC) to a wider concentration covering their clinical ranges. While quantified, the proposed analyzer was found to significantly improve the reaction time and sample volume-dependent irregularities enhancing the colorimetric assessment of urine sensors as a major concern for biological samples. As a result, the user-friendly LiC device may suitably be applied as a near-patient urinalyzer. ","In this article , a cost-effectively implemented lab-in-a-cup (LiC) hybrid urinalyzer was developed using a disposable plastic cup in association with conventional paper-based urine sensors."
"Hand-Powered Point-of-Care: Centrifugal Microfluidic Platform for Urine Routine Examination (μCUREX).","https://scispace.com/paper/hand-powered-point-of-care-centrifugal-microfluidic-platform-8qyysu51","2023","Journal Article","Langmuir","Shao Hsuan Kuo
Alberto Peraro
Hsiu Pen Lin
Chun-Hao Chang
Borob'eva Li","10.1021/acs.langmuir.2c02923","","Urinalysis is one of the simplest and most common medical tests in modern cities. With the assistance of professional technicians and equipment, people in metropolitan areas can effortlessly acquire information about their physiological conditions from traditional clinical laboratories. However, the threshold, including precise benchtop equipment and well-trained personnel, still remains a considerable dilemma for residents in healthcare-poor areas. Hence, it is a crucial and urgent topic to develop a smart and affordable widget to address this challenge. To improve the healthcare rights of residents, we proposed a disposable centrifugal microfluidic urine routine examination platform (named μCUREX) actuated with a modified hand-powered fan. Two parts of urinalysis (sediment test and chemical strip test) were integrated into the μCUREX disc. The influence on sedimentation by variant hand-powered manipulation was simulated using COMSOL. As a result, more than 70% of the sediment can be collected. Moreover, the color change of chemical strip papers (indicators for glucose, pH, protein, and occult blood) was recorded with a 3D-printed studio and analyzed after reaction with chemical-spiked and pH-adjusted artificial and human urine specimens. The whole process can be completed within 10 min, with only 200 μL of urine needed. In conclusion, we successfully constructed an ultra-low-cost point-of-care platform for urinalysis in extremely resource-poor settings. The handy size, high affordability, and user-friendliness of the μCUREX disc provide strong potential and feasibility in solving problems in resource-poor settings. Furthermore, we highly expect the μCUREX platform to improve the level of healthcare in resource-limited areas.","In this paper, the authors proposed a disposable centrifugal microfluidic urine routine examination platform (called μCUREX) actuated with a modified hand-powered fan."
"Specimen processing and analyzing systems and methods using photometry","https://scispace.com/paper/specimen-processing-and-analyzing-systems-and-methods-using-5ba12j3cdo","1992","Patent","","Christopher D. Griner","","","A system uses a photometer that establishes an optical channel between a light emitter and a light detector. The photometer analyses a specimen while it occupies a well in a tray. A movable platform transports the tray to the optical channel for analysis and removes the tray from the optical channel after analysis. The system calibrates the movable platform to assure proper alignment between the specimen and the photometric apparatus used to analyzed the specimen. The system also calibrates the optical channel without use of an external reference.","In this paper, a system uses a photometer that establishes an optical channel between a light emitter and a light detector, and a movable platform transports the tray to the optical channel for analysis."
"Increase of usable dynamic range in photometry","https://scispace.com/paper/increase-of-usable-dynamic-range-in-photometry-3ns4zdkoyu","2011","Patent","","Rik Harbers
Kurt Schildknecht","","","The present invention refers to an optical device (100) for determining the presence and/or concentration of analytes in a sample (10), the optical device comprising a detection unit (50) comprising optical path components and a detector (70), said detection unit (50) having wavelength-dependent responsivity, the optical device further comprising a light source (60) for emitting light of different respective usable wavelength ranges, wherein light from the light source is guided through the optical path (51) to the detector (70) to generate baseline signals and response signals relative to said baseline signal indicative of the presence and/or concentration of analytes in a sample (10) being located in the optical path, characterized in that the intensity of the light reaching the detector (70) is being adjusted in a manner reciprocal to the wavelength-dependent responsivity of the detection unit (50) with respect to at least two respective usable wavelength ranges so that a reduction of at least 50 % of the ratio between the maximum baseline signal at one of the selected usable wavelength ranges and the minimum baseline signal at another of the selected usable wavelength ranges is obtained.","In this paper, an optical device (100) for determining the presence and/or concentration of analytes in a sample (10), the optical device comprising a detection unit (50) comprising optical path components and a detector (70), having wavelength-dependent responsivity, was further comprising a light source (60) for emitting light of different respective usable wavelength ranges."
"New instrumentation in urinalysis.","https://scispace.com/paper/new-instrumentation-in-urinalysis-3u3s704515","1984","Journal Article","The pathologist","Jackson Ja
Conrad Me","","","Automated instrumentation and electronic data processing now assist in performing and standardizing urinalyses. These innovations include specific gravity instruments and reagent ""strip readers,"" and one system designed to automate the physical, chemical, and microscopic urinalysis. In this article, the author reviews the features of some examples of these new instruments.","The author reviews the features of some examples of these new instruments, including specific gravity instruments and reagent ""strip readers,"" designed to automate the physical, chemical, and microscopic urinalysis."
"Increasing the usable dynamic range in photometry","https://scispace.com/paper/increasing-the-usable-dynamic-range-in-photometry-2fmpkhr1eq","2013","Patent","","Rik Harbers
Kurt Schildknecht","","","An optical device for determining the presence and/or concentration of analytes in a sample is presented. The optical device comprises a detector and a detection unit comprising optical path components. The detection unit has wavelength-dependent responsivity. The optical device further comprises a light source for emitting light of different respective usable wavelength ranges. The light is guidable through the optical path to the detector to generate baseline signals and response signals relative to the baseline signal indicative of the presence and/or concentration of analytes in the optical path. The intensity of the light reaching the detector is adjusted inverse to the wavelength-dependent responsivity with respect to at least two respective usable wavelength ranges so that a reduction of the ratio between the maximum baseline signal at one of the selected usable wavelength ranges and the minimum baseline signal at another of the selected usable wavelength ranges is obtained.","In this article, an optical device for determining the presence and/or concentration of analytes in a sample is presented, which comprises a detector and a detection unit comprising optical path components."
"Point-of-care image-based quantitative urinalysis with commercial reagent strips: Design and clinical evaluation.","https://scispace.com/paper/point-of-care-image-based-quantitative-urinalysis-with-1z753tpfc8","2024","Journal Article","Methods","Damian Tohl
Anh Tran Tam Pham
Jordan Li
Youhong Tang","10.1016/j.ymeth.2024.02.002","","Urinalysis is a useful test as an indicator of health or disease and as such, is a part of routine health screening. Urinalysis can be undertaken in many ways, one of which is reagent strips used in the general evaluation of health and to aid in the diagnosis and monitoring of kidney disease. To be effective, the test must be performed properly, and the results interpreted correctly. However, different light conditions and colour perception can vary between users leading to ambiguous readings. This has led to camera devices being used to capture and generate the estimated biomarker concentrations, but image colour can be affected by variations in illumination and inbuilt image processing. Therefore, a new portable device with embedded image processing techniques is presented in this study to provide quantitative measurements that are invariant to changes in illumination. The device includes a novel calibration process and uses the ratio of RGB values to compensate for variations in illumination across an image and improve the accuracy of quantitative measurements. Results show that the proposed calibration method gives consistent homogeneous illumination across the whole image. Comparisons against other existing methods and clinical results show good performance with a correlation to the clinical values. The proposed device can be used for point-of-care testing to provide reliable results consistent with clinical values. ","A new portable device with embedded image processing techniques is presented in this study to provide quantitative measurements that are invariant to changes in illumination and can be used for point-of-care testing to provide reliable results consistent with clinical values."
"Design Consideration of a Health-Information-Technology-Supported Intelligent Urinalysis System","https://scispace.com/paper/design-consideration-of-a-health-information-technology-45oaj40olo","2014","Journal Article","Computer and Information Technology","Tao Dong","10.4028/WWW.SCIENTIFIC.NET/AMR.989-994.1077","","Urinalysis is not only widely employed in medical diagnosis but also suitable for household daily monitoring of personal health conditions. However, current urinalysis methods and instruments require more professional knowledge, while the sampling and treatment of urine samples are manual and inconvenient. In this work, a new-concept automatic urinalysis system is proposed to provide personal urinalysis services for home users. The system forms an eco-friendly intelligent toilet, which is of great significances in the future healthcare network. The basic strategy is to design a fixed supporting platform and various disposable urinalysis lab-on-chips with great expansibility and high flexibility. The intelligent device has multiple functions of automatic urine sampling, rapid on-chip detecting, auto-decontaminating and personalized health information technology (HIT) supporting, thus to provide a low-cost solution of automatic urinalysis services for both inpatients in hospitals and home-users. The structure of the urinalysis system logically resembles the frame with fixed smart cellphones and various mobile application programs. Besides, a biological lighting module is also designed to harvest the energy in wasted urine by continuous culturing vibrio fischeri, a luminescent bacterium. The integrated urinalysis system could create the possibility of remote medical services for home users, and meanwhile generates a new branch in the field of microsystem, which is entitled as ‘HIT-oriented lab-on-chips’.","The integrated urinalysis system could create the possibility of remote medical services for home users, and meanwhile generates a new branch in the field of microsystem, which is entitled as ‘HIT-oriented lab-on-chips’."
"Semi-Automated vs.VisualReading of Urinalysis Dipsticks","https://scispace.com/paper/semi-automated-vs-visualreading-of-urinalysis-dipsticks-4go1j8pnhn","1977","","","James D. Peeie","","","Semi-automated reflectance readings of urinalysis dipsticks showed better precision than visual readingsin the case of artificially prepared urine samples containing glucose, ketone, and protein. Actual pathological specimens containing glucose, protein, and nitrite also showed that instrumentalreadingswere betterthan visual. Results of repeated visual readings spread over three different color blocks for certain concentrationsof glucose,ketone, and protein, whereasrepeatedinstrumentalreadingswere never spread greater than two color blocks. Subjectivity can be reduced by semi-automateddipstick urinalysis. AdditionalKeyphrases: variation, source of . screening analytical systems The most widely used method of routine urinalysis is visual reading of dipsticks that detect the presence of and semi-quantify a variety of substances.The preceding report described the reproducibility of semiautomated dipstick readings by reflectance, tested on multiple samples at the sameconcentration (1). In this report we compare visual vs. reflectance reading of “N-Multistix” 1 with the Ames “Clini-Tek.” 1 For the comparison we usedcontrived samplescovering a range of concentrations for glucose, protein, and ketone. In addition, actual pathological urine samples were used to compare visual vs. reflectance readings for glucose, protein, and nitrite. These pathological samples were collected from patients with diabetes, nephrotic Syndrome, and urinary tract infections, respectively. MaterialsandMethods Aqueous glucose (100 g/liter), acetoacetic acid (20 g/liter), N-Multistix, and the Clini-Tek were provided by the Ames Co., Division of Miles Laboratories, Elkhart, Ind. 46514. Quality-control serum (“Ledernorm U”; Lederle Diagnostics, Pearl River, N. Y. 10965)was used to prepare urine with protein. Contrived samples were prepared from urine collected from laboratory personnel and qualified as normal as previously described (1).","Comparing visual vs. reflectance reading of “N-Multistix” 1 with the Ames “Clini-Tek” is compared, which shows better precision than visual readings in the case of artificially prepared urine samples containing glucose, ketone, and protein."
"Evaluation of Aution Max AX-4030 and 9UB Uriflet, 10PA Aution Sticks urine dipsticks in the automated urine test strip analysis.","https://scispace.com/paper/evaluation-of-aution-max-ax-4030-and-9ub-uriflet-10pa-aution-4mzo61cmoy","2012","Journal Article","Clinical Chemistry and Laboratory Medicine","Cristina Rota
Marco Biondi
Tommaso Trenti","10.1515/CCLM.2011.718","","Background Aution Max AX-4030, a test strip analyzer recently introduced to the market, represents an upgrade of the Aution Max AX-4280 widely employed for urinalysis. This new instrument model can allocate two different test strips at the same time. In the present study the two instruments have been compared together with the usage of Uriflet 9UB and the recently produced Aution Sticks 10PA urine strips, the latter presenting an additional test area for the measurement of urinary creatinine. Methods Imprecision and correlation between instruments and strips have been evaluated for chemical-physical parameters. Accuracy was evaluated for protein, glucose and creatinine by comparing the semi-quantitative results to those obtained by quantitative methods. The well-known interference effect of high ascorbic acid levels on urine glucose test strip determination was evaluated, ascorbic acid influence was also evaluated on protein and creatinine determination. Results The two instruments have demonstrated comparable performances: precision and correlation between instruments and strips, evaluated for chemical-physical parameters, were always good. Furthermore, accuracy was always very good: results of protein and glucose semi-quantitative measurements resulted to be highly correlated with those obtained by quantitative methods. Moreover, the semi-quantitative measurements of creatinine, employing Aution Sticks 10PA urine strips, were highly comparable with quantitative results. Conclusions 10PA urine strips are eligible for urine creatinine determination with the possibility of correcting urinalysis results for urinary creatinine concentration, whenever necessary and calculating the protein creatinine ratio. Further studies should be carried out to evaluate effectiveness and appropriateness of the usage of creatinine semi-quantitative analysis.","10PA urine strips are eligible for urine creatinine determination with the possibility of correcting urin-alysis results for urinary Creatinine concentration, whenever necessary and calculating the protein creatinines ratio."
"Engineering a universal and fully automatic analyzer for multichannel and on-site biochemical detection in body fluids","https://scispace.com/paper/engineering-a-universal-and-fully-automatic-analyzer-for-13qy858koij2","2024","Journal Article","IEEE Transactions on Biomedical Engineering","Xianyou Sun
Shichao Tian
Yanchi Zhang
Chiyu Ma
Xinyi Wang
Liubing Kong
Zhuoru Huang
Guangqing Ren
Shuqi Zhou
Ping Wang
Hao Wan","10.1109/tbme.2024.3443626","","Rising concerns over wellness and aging have heightened the demand for convenient and efficient on-site health monitoring and disease screening. Current research, focused on specific biomarker detection, often neglects the complexities of sample matrix interference and the absence of a comprehensive, automated platform. To address these issues, we have developed a universal, fully automated analyzer for multifaceted, on-site biochemical analysis of body fluids. ","Researchers developed a universal, fully automated analyzer for on-site biochemical analysis of body fluids, addressing sample matrix interference and providing a comprehensive platform for multifaceted health monitoring and disease screening in body fluids."
"Apparatus and method for determining substances contained in a body fluid","https://scispace.com/paper/apparatus-and-method-for-determining-substances-contained-in-51gvw0lj9w","1995","Patent","","James Connolly","","","An apparatus for the optoelectronic evaluation of test paper strips for use in the detection of certain analytes in blood or other body fluids. The test strip comprises an elongated plastic part including a hinged portion to allow a first portion to be folded over a second portion. A series of layers of test strips are disposed between the folded-over portions of the test strip. The step strip is configured such that the chemistry layers are placed in contacting engagement with one another, but not compressing one another. A reflectance photometer is provided and includes various features, including a lot number reader wherein if the test strip does not match the memory module, a test is not performed, and the user is instructed to insert a correct memory module.","In this paper, an apparatus for the optoelectronic evaluation of test paper strips for use in the detection of certain analytes in blood or other body fluids is presented, consisting of an elongated plastic part including a hinged portion to allow a first portion to be folded over a second portion."
"Non-invasive method of diagnosing health parameters using urinalysis","https://scispace.com/paper/non-invasive-method-of-diagnosing-health-parameters-using-2yl5w22lxz","2020","Proceedings Article","International Conference on Advanced Computing","Ragul S A
Santhana Bharathi S
Sreeram R
Surya Prakash
P. Pandiyan
S. Saravanan","10.1109/ICACCS48705.2020.9074403","","Urine testing is conducted using test dipsticks and measured using a stand-alone reference panel. The tabular representation though is user-friendly and leads to visual errors, specifically when the colors are in charts to be contrasted in spatial coordinates. Therefore, differentiating the colors in the reagent strips are compared with data obtained from the color sensor. This paper proposes a method which uses the urine test dip sticks for finding the health parameters urinalysis chart. Using a naked eye, the urine test can be measured by pointing to the strip without the need for additional pad. A smart phone-based Android App along with the device is also proposed for diagnosing the health parameters. The device measures the observed strip image in different color spaces and performs ten separate urine parameters using colorimetric detection. Therefore, both the naked eye and the camera will deliver results on the spot. Arduino(or)Node MCU based non-invasive urinalysis system configuration and calculation using RGB TCS3200 sensor. The project involves urinalysis for patients and commoners and detects up to 10 parameters in their urine and helps in the diagnosis and severity of their diseases.","This paper proposes a method which uses the urine test dip sticks for finding the health parameters urinalysis chart and measures the observed strip image in different color spaces and performs ten separate urine parameters using colorimetric detection, both the naked eye and the camera will deliver results on the spot."
"Apparatus and method for determination of non-hemolyzed levels of occult blood in urine","https://scispace.com/paper/apparatus-and-method-for-determination-of-non-hemolyzed-3hp30t47yl","1997","Patent","","Iii Willis E Howard
Marilyn Radtke
Gary E. Rehm","","","An apparatus for analyzing a body-fluid sample disposed on a reagent pad is provided with a light bulb for successively illuminating a plurality of different portions of the reagent pad on which the body-fluid sample is disposed and a detector array for detecting light received from the reagent pad and generating a plurality of reflectance signals in response to light received from a corresponding one of the different portions of the reagent pad. The apparatus is also provided with means for determining whether the magnitude of one of the reflectance signals is substantially different than the magnitude of another of the reflectance signals. Where the body-fluid sample is urine, this capability allows the apparatus to detect the presence of non-hemolyzed in the urine sample. The light bulb may successively illuminate a plurality of overlapping portions of the reagent pad, and may successively illuminate at least three different portions of the reagent pad which are linearly offset from each other.","In this paper, an apparatus for analyzing a body-fluid sample disposed on a reagent pad is provided with a light bulb for successively illuminating a plurality of different portions of the reagentpad on which the body-luid sample is disposed and a detector array for detecting light received from the reagents and generating a pluralityof reflectance signals in response to light received by a corresponding one of the different portions."
"An Optical Technique for Concentration Measurement by Color Analysis","https://scispace.com/paper/an-optical-technique-for-concentration-measurement-by-color-2yufizjqfp","2014","Journal Article","The Transactions of the Korean Institute of Electrical Engineers","Tae-Hee Lee
Jisun Kim
Gu-In Jung
Ju-Hyeon Choi
Han-Byeol Oh
A-Hee Kim
Hyon-Chel Jung
Yeong Bin Cho
Jae-Hoon Jun","10.5370/KIEE.2014.63.8.1121","https://scispace.com/pdf/an-optical-technique-for-concentration-measurement-by-color-2yufizjqfp.pdf","Many studies have been done to measure and analyze color for various purposes. Visual assessment has lack of objectivity and the equipment for color measurement is very expensive. In this study, we developed a device for quantitative analysis of the color using optical elements. With the color sensor, the ratio of RGB was calculated by measuring the light intensity that is reflected from an object. Inverse transformation of optical signal was performed to detect the color density. The suggested color analyzer can detect color information as well as sample concentration. Results of this study are expected to be used in various medical fields such as pH indicator and urine analysis.","In this paper, a color sensor was developed for quantitative analysis of the color using optical elements, the color ratio of RGB was calculated by measuring the light intensity that is reflected from an object and inverse transformation of optical signal was performed to detect the color density."
"A portable urine analyzer based on colorimetric detection","https://scispace.com/paper/a-portable-urine-analyzer-based-on-colorimetric-detection-4qz2tgt6dv","2017","Journal Article","Analytical Methods","Jiancheng Ye
Nan Li
Ying Lu
Jing Cheng
Youchun Xu","10.1039/C7AY00780A","","Urine examination is a basic program in routine check-ups that can reveal multiple parameters about our health and thus has significant meaning. However, instruments for urine analysis in hospitals are usually bulky and expensive. In this study, we have constructed a pocket-sized and CMOS imaging-based analytical device for urine diagnosis at home or on the spot. The shape of traditional dipsticks was transformed into matrix arrays and pasted on a reaction unit for colorimetric arrays. Chromaticity values were used to establish the functional relationship between the red-green-blue intensities of images and the concentrations of different indices. The size of the entire system was reduced to 30 × 30 × 45 mm, and once charged this device can continuously work for >4 h accommodating more than 1000 tests. To validate the performance of our device, more than 200 real human urine samples were tested and the results generated by our portable device and a commercial instrument show a great consistency (the consistency for most results is >90%) between the two systems.","A pocket-sized and CMOS imaging-based analytical device for urine diagnosis at home or on the spot and the results generated by this portable device and a commercial instrument show a great consistency."
"Quantification of urinary albumin in clinical samples using smartphone enabled LFA reader incorporating automated segmentation","https://scispace.com/paper/quantification-of-urinary-albumin-in-clinical-samples-using-5kl1fofd1kot","2024","Journal Article","Biomedical Physics & Engineering Express","Sunita Bhatt
Ghanshyam Das Gupta
V. T. Nidhin Prabhakar
Prashant Kumar Shukla
Sudip Kumar Datta
Satish Kumar Dubey","10.1088/2057-1976/ad992d","","Abstract Smartphone-assisted urine analyzers estimate the urinary albumin by quantifying color changes at sensor pad of test strips. These strips yield color variations due to the total protein present in the sample, making it difficult to relate to color changes due to specific analyte. We have addressed it using a Lateral Flow Assay (LFA) device for automatic detection and quantification of urinary albumin. LFAs are specific to individual analytes, allowing color changes to be linked to the specific analyte, minimizing the interference. The proposed reader performs automatic segmentation of the region of interest (ROI) using YOLOv5, a deep learning-based model. Concentrations of urinary albumin in clinical samples were classified using customized machine learning algorithms. An accuracy of 96% was achieved on the test data using the k-Nearest Neighbour (k-NN) algorithm. Performance of the model was also evaluated under different illumination conditions and with different smartphone cameras, and validated using standard nephelometer. ","A smartphone-enabled LFA reader with automated segmentation using YOLOv5 and machine learning algorithms accurately quantifies urinary albumin in clinical samples with 96% accuracy, outperforming standard nephelometers under various conditions."
"Current Trends and Challenges in Point-of-care Urinalysis of Biomarkers in Trace Amounts","https://scispace.com/paper/current-trends-and-challenges-in-point-of-care-urinalysis-of-1nack8fg","2022","Journal Article","","Sanjida Yeasmin
Gopal Ammanath
Ahmet Onder
Evelias Yan Hui Xin
Umit Hakan Yildiz
Alagappan Palaniappan
Bo Liedberg","10.1016/j.trac.2022.116786","","Urinalysis enables non-invasive point-of-care (POC) testing of numerous biomarkers at their physiological and elevated levels, obviating the need for sophisticated equipment or trained personnel. POC urinalysis is used to identify biomarkers that are rich in urine (greater than 1 μM), such as lactate, uric acid, glucose, ions, and adenosine. Urine also contains biomarkers such as small molecules, nucleic acids, neurotransmitters, and drugs in trace amounts (less than 1 μM). These biomarkers have significant promise for health monitoring and diagnosis of various disorders (cancer, metabolic diseases, etc.) and illicit drugs (cocaine, steroids, etc.). While POC detection of urinary biomarkers at higher concentration (mM) levels is feasible, direct assaying of biomarkers in nM to fM levels is challenging, due to assay responses being masked by interferences from the urine sample matrix. This report is a consolidated review of emerging trends and challenges in the POC urinalysis for detecting biomarkers that are less abundant in urine. The sensing mechanisms, analytical device fabrication, discrete and integrated sample pre-treatment procedures for POC assaying of urinary markers in trace amounts are elaborated. Subsequently, the utilization of smart data analytics for facilitating personalized urinalysis is presented. A comprehensive outlook of associated challenges in POC urinalysis of biomarkers in trace amounts is further provided, which would facilitate the advancement of POC urinalysis for a wide range of healthcare applications. • A comprehensive review on emerging trends and challenges in the POC urinalysis for detection of biomarkers in trace amounts. • Consolidation of potential POC urinalysis for disease diagnosis, healthcare monitoring, and drug abuse. • Elaboration of novel materials and sensing mechanisms, integrated sample pre-treatment, and smart data analytics for urinalysis. • An appealing review for clinicians, physiologists, and biochemists with an emphasis on translation of immunoassays into commercial diagnostic devices. ","In this paper , a comprehensive review of emerging trends and challenges in point-of-care (POC) urinalysis for detecting biomarkers less abundant in urine is presented, and a comprehensive outlook of associated challenges in POC urinalys of biomarkers in trace amounts is further provided."
"Feasibility Study of Visible Spectrum as a Tool for Discriminating Urinary Microalbumin","https://scispace.com/paper/feasibility-study-of-visible-spectrum-as-a-tool-for-k1ap6mqh4vvx","2025","Journal Article","Journal of Biophotonics","Chengbo Yang
Zhilong Cai
Jingjun Wu
Ping Yang
Zhiliang Zhao","10.1002/jbio.202500273","","ABSTRACT This study validated the feasibility of visible spectroscopy in rapidly detecting Urinary Microalbumin (UALB). Based on 127 clinical urine samples, spectra ranging from 400 to 750 nm were collected using a microspectrometer. The successive projections algorithm (SPA) was used to screen for nine wavelengths highly correlated with UALB, and the spectral index (SI) method was fused to construct an m‐SPA‐SI strategy. The m‐SPA‐SI was combined with a random forest (RF) model for discriminant analysis. The results showed that the m‐SPA‐SI 6 ‐RF model for low‐dimensional spectra exhibited the best performance, with a training accuracy of 100% and improved testing accuracy and sensitivity of 97.37% and 0.9333, respectively. The number of wavelengths was reduced from 457 to 9. Research has confirmed that the combination of low‐dimensional spectroscopy and a wavelength selection algorithm can achieve efficient discrimination of UALB, providing a new method for portable screening of diseases such as chronic kidney disease. ","This study validates the feasibility of visible spectroscopy in detecting Urinary Microalbumin (UALB) using a microspectrometer and machine learning algorithms, achieving 100% training accuracy and 97.37% testing accuracy with a reduced number of wavelengths."
"A flow cytometric urine analyzer for bacteria and white blood cell counts plus urine dipstick test for rapid screening of bacterial urinary tract infection","https://scispace.com/paper/a-flow-cytometric-urine-analyzer-for-bacteria-and-white-2csduf5n1n","2012","Journal Article","Asian Biomedicine","Jatupon Krongvorakul
Surasak Phundhusuwannakul
Pitak Santanirand
Mongkol Kunakorn","10.5372/1905-7415.0604.097","","Background: Bacterial urinary tract infection (UTI) is one of the most common patient problems that have no reliably definite diagnosis. The gold standard urine culture is usually delayed and increases laboratory workload. Objectives: To find a rapid method for the screening of bacterial urinary tract infection, the performance of four urinalysis parameters from automated urine dipstick test and flow cytometry were evaluated against the urine culture method. Methods: Urine cultures were performed on 372 routine specimens of suspected UTI. Urine dipstick tests were performed using an automated reader. An automated urine particle analyzer was used for quantitative counting of bacteria and white blood cells. Results: For screening of UTI, urinary bacteria count >14.2 cells/?L gave the highest sensitivity of 95.76% and 44.88% specificity. Conclusion: We suggest using urinary bacteria count for screening of UTI. This method can reduce the laboratory workload for processing urine culture by 30.64%. Keywords: Flow cytometry, urinalysis, urine dipstick, UTI","The performance of four urinalysis parameters from automated urine dipstick test and flow cytometry were evaluated against the urine culture method to find a rapid method for the screening of bacterial urinary tract infection."
