"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Optical Design and Detection Method","Electronics and Control System","Manufacturing and Cost Considerations"
"SpectraPhone: A Smartphone Based Spectrometer for High-Resolution Urinalysis","https://scispace.com/paper/spectraphone-a-smartphone-based-spectrometer-for-high-r2pyh7nvoefq","2025","Journal Article","","Kefan Song
Ilan Mandel
Jason Cobb
Tanzeem Choudhury
Alexander T. Adams","10.21203/rs.3.rs-7143209/v1","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes a smartphone spectrometer for quantitative urinalysis; lacks benchtop form factor, dipstick use, and optical reflectance photometry.","<title>Abstract</title> Chronic kidney disease (CKD) affects millions worldwide but remains under-diagnosed, especially in resource-limited settings. Current diagnostic methods, including visual and dipstick urinalysis, lack quantitative accuracy, while laboratory-based tests remain inaccessible for routine or remote monitoring. Here we present SpectraPhone, a smartphone-integrated, portable spectrometer designed for quantitative, point-of-care urinalysis. Leveraging the smartphone's built-in camera and flashlight, SpectraPhone captures high-resolution spectral data to accurately quantify hematuria and albuminuria, which are both biomarkers of CKD. Through rigorous optical characterization and empirical validation, SpectraPhone demonstrates superior quantification performance, accurately measuring red blood cell concentrations (R<sup>2</sup>=0.9913, RMSE=61.6086 RBC/μL, MAE=43.9077 RBC/μL) and albumin levels (R<sup>2</sup>=0.9981, RMSE=11.8525 mg/dL, MAE=8.4985 mg/dL), significantly surpassing the capabilities of conventional qualitative methods. With the addition of bromophenol blue reagent, SpectraPhone achieves more accurate urine albumin measurements (R<sup>2</sup>=0.9997, RMSE=4.2583 mg/dL, MAE=3.2625 mg/dL), enabling clinical-grade albuminuria detection. SpectraPhone’s affordability, ease of use, and robust performance highlight its potential to transform routine CKD screening, facilitate early detection, improve disease management, and increase healthcare access globally. ","","",""
"Biosensors for Point‐of‐Care Applications: Replacing Pathology Labs by Bedside Devices","https://scispace.com/paper/biosensors-for-point-of-care-applications-replacing-3awlnz8x","2023","Other","","M Sinha
S Banerjee
S Majumdar","10.1002/9783527837946.ch9","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses general point‑of‑care biosensors and home testing; lacks any focus on urine dipsticks, benchtop integration, or reflectance photometry.","In recent times COVID-19 has wreaked havoc on the physical, mental, and financial well-being over the entire world. Despite all the technological innovations in the field of medicine, it seemed like early detection of onset of communicable diseases has not been addressed to its full potential. In this chapter, we will be discussing the relevant low-cost and time-efficient methods that can be carried out in bulk throughout the spectrum of population while sitting in the comfort of one's home. These methods have been aptly named as point-of-care testing (POCT) methods. The advent of these POCT methods has led to a revolution in timely detection of fatal diseases and incidence of communicable diseases that might snowball into a pandemic as we have seen in recent times. Due to prevalent stressful lifestyles, monitoring of blood glucose and other vital parameters such as blood gas (pO 2 , pCO 2 , etc.) and metabolites in urine have proven to be efficacy minimally invasive ways to detect the onset of fatal diseases. This chapter would be of immense interest to researchers and scientists working in the domains of bioengineering, biomedical engineering, medicine, and other healthcare-related professions. This chapter is an attempt to initiate the train of thoughts toward finding frugal and innovative ways that can be utilized to carry out detections of such diseases in low-cost, resource-limited settings in developing and underdeveloped countries over the globe. ","","",""
"Point-of-care testing in diabetes care","https://scispace.com/paper/point-of-care-testing-in-diabetes-care-2pwmnmqjm3","2011","Journal Article","Mini-reviews in Medicinal Chemistry","Elena Matteucci
Ottavio Giampietro","10.2174/138955711794519474","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Review lists PoCT urine dipstick devices but lacks any benchtop system, optical reflectance design, or detailed hardware/calibration discussion.","Assessing modifiable risk factors for metabolic and cardiovascular diseases prior to the onset of disease could allow effective prevention initiatives. Equally, monitoring in diabetic people glucose, haemoglobin A1c, ketones, lipid profiles, and urinary microalbumin concentrations allows the prevention, early detection, and treatment of diabetes-related acute and chronic complications and has a positive impact on the process of care in the management of patients with diabetes. The point-of-care testing (PoCT) technology offers convenient aspects: immediate results, decision-making without the need for repeated visits, use of fingerstick blood samples. More patients could be identified at early stages of their disease/complication provided that pre-analytical, analytical, and post-analytical errors are minimised. Indeed, prediction requires instruments with proved precision, accuracy, validity, and reliability. Reference laboratory services are now available to manufacturers so to confirm PoCT results. There are several PoC devices on the market that may allow for ""real time"" screening, diagnosis, and monitoring in diabetes care. Tight glucose control has a key role in long-term health of diabetic people and in the primary prevention of diabetic chronic complications. Diabetic patients are currently educated to control capillary glucose levels daily in order to maintain them within target limits. Blood glucose meters are widely used not only by diabetic patients to self-manage their disease but also by physicians to monitor critically ill patients. Glycated haemoglobin A1c can now be measured with fast and easy automated PoCT instruments to monitor long-term serum glucose regulation. Urinalysis dipsticks and blood betahydroxybutyrate meter allow measuring urine and blood ketones to prevent ketoacidosis. Since the routine measurement of urinary albumin has been suggested in diabetes mellitus as a predictor of overt diabetic nephropathy, semi-quantitative visual dipsticks and quantitative automated methods of urine testing became available for bedside detection of urine albumin at low concentrations and for the determination of the microalbumin creatinine ratio. While the National Cholesterol Education Program recommends that all adults aged 20 years and over have their blood cholesterol checked at least once every 5 years, adult diabetic patients should measure fasting lipid profile at least annually or every two years in case of low-risk lipid values. There are PoCT devices on the market that provide a full lipid panel (total cholesterol, low-density lipoprotein cholesterol, high-density lipoprotein cholesterol, and triglycerides). The overview summarises current state-of-the-art of PoCT in diabetes care.","","",""
"Dry chemistry: analysis with carrier-bound reagents","https://scispace.com/paper/dry-chemistry-analysis-with-carrier-bound-reagents-3fs2gfasoa","1993","Book","","Oswald Sonntag","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes dry‑chemistry reflectometry instruments, not a benchtop urine dipstick system; offers hardware overviews of similar analyzers and general reflectance principles, but lacks specific urine dipstick application details.","Preface of the English edition. Preface of the German edition. Introduction to Dry Chemistry. Theory of Reflection Spectroscopy. Instrument Systems: Cobas Ready System Drichem 1000 Ektachem systems Opus system Reflotron system Seralyzer system Stratus system. Dry chemistry as used in the physician's office laboratory. Summary. Index.","","",""
"… prospective observational pilot study to test the feasibility of a smartphone enabled uChek© urinalysis device to detect biomarkers in urine indicative of preeclampsia …","https://scispace.com/paper/Djs2mEKirBIJ","","","","M Wirth
N Biswas
S Ahmad
HS Nayak
A Pugh","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses reflectance photometry to read dipstick colors on a smartphone device; not benchtop, offers limited hardware detail, but clearly applies optical reflectance for detection.","","","",""
"Development of multi-colorimeter module for low-cost urinalysis strip readers","https://scispace.com/paper/development-of-multi-colorimeter-module-for-low-cost-2zc5qb4lm7","2008","Journal Article","Journal of Sensor Science and Technology ","Soo-Young Ye
Yong-uk Jeon
Do-Un Jeong
Gye-Rok Jeon
Jung Hoon Ro","10.5369/JSST.2008.17.5.387","https://scispace.com/pdf/development-of-multi-colorimeter-module-for-low-cost-2zc5qb4lm7.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides detailed hardware design of a low‑cost multi‑colorimeter module; lacks full benchtop integration and clear reflectance‑based detection specifics.","An optic module system is developed adopting multiple colorimetry units for the measurement of multi-pad urinalysis dipsticks Multiple photometry system instead of moving mechanisms has the advantages of system reliability and simplicity as well as economic aspects due to the recent development of economic color light emitting diodes and stable photo sensors An integration amplifier with programmable integration time, a current source circuit with selectable and stable current settings were connected through analog multiplexers to thirty light emitting diodes for illumination and ten photo transistors for reading each strip pad All the circuits are controlled by a microprocessor through a simple set of serial communication commands The detect ability is eighteen times better than the minimum color difference of the test grading which is 0013 in urobilinogen in the color space defined in this paper","","",""
"Performance characteristics of dipstick and microscopic urinalysis for diagnosis of urinary tract infection","https://scispace.com/paper/performance-characteristics-of-dipstick-and-microscopic-30b4p8dell","2010","Journal Article","European journal of general medicine","Ramazan Memisogullari
Hatice Yüksel
Hayriye Ak Yildirim
Özlem Yavuz","10.29333/EJGM/82846","https://scispace.com/pdf/performance-characteristics-of-dipstick-and-microscopic-30b4p8dell.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Evaluates dipstick test accuracy for UTIs; no discussion of benchtop analyzer, hardware design, or optical reflectance photometry, thus irrelevant to all criteria.","Aim: Although the urine culture is used as the reference standard to determine presence or absence of urinary tract infection, the culture is an expensive and time-consuming method. The objectives of the study were to compare dipstick urinalysis with microscopic urinalysis and to compare dipstick and microscopic urinalysis results with urine culture results, by calculating performance characteristics of these tests.
Method: The 250 morning urine specimens were performed by using dipstick and microscopic urinalysis and cultured. Laboratory urinalysis included semi-automated dipstick reading by a Miditron-M Reflectance photometer and microscopic examination.
Result: Thirty-five point six percent (89/250) of patients had urine cultures with 105 colonies/mL or greater. Sensitivity and specificity of microscopic urinalysis were 91% and 68%, whereas in dipstick urinalysis they were 80% and 60%, respectively. Negative predictive values were 84% for urine dipsticks and 93% for microscopic urinalysis. Positive predictive values were 52% and 61% for dipstick and microscopic urinalysis, respectively.
Conclusion: The study has suggested that both urinalysis methods can be used for rapid diagnosis. Urine culture is an expensive test for routine use and should not be applied unless the result of the nitrite, leukocyte or bloods are positive in dipstick or leukocyte, erythrocyte or bacteria are positive in microscopic examination.","","",""
"Urinalysis and urinary tract infection: update for clinicians.","https://scispace.com/paper/urinalysis-and-urinary-tract-infection-update-for-clinicians-11d7xqamoi","2001","Journal Article","Infectious Diseases in Obstetrics & Gynecology","Jennifer L. Young
David E. Soper","10.1155/S1064744901000412","https://scispace.com/pdf/urinalysis-and-urinary-tract-infection-update-for-clinicians-11d7xqamoi.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Mentions automated dipstick analysis via spectroscopy, but provides no benchtop integration, optical reflectance photometry specifics, or detailed hardware design.","Dysuria is a common presenting complaint of women and urinalysis is a valuable tool in the initial evaluation of this presentation. Clinicians need to be aware that pyuria is the best determinate of bacteriuria requiring therapy and that values significant for infection differ depending on the method of analysis. A hemocytometer yields a value of ≥ 10 WBC/ mm3 significant for bacteriuria, while manual microscopy studies show ≥ 8 WBC/high-power field reliably predicts a positive urine culture. In cases of uncomplicated symptomatic urinary tract infection, a positive value for nitrites and leukocyte esterase by urine dipstick can be treated without the need for a urine culture. Automated urinalysis used widely in large volume laboratories provides more sensitive detection of leukocytes and bacteria in the urine.With automated microscopy, a value of > 2 WBC/hpf is significant pyuria indicative of inflammation of the urinary tract. In complicated cases such as pregnancy, recurrent infection or renal involvement, further evaluation is necessary including manual microscopy and urine culture with sensitivities.","","",""
"Evaluating color correction algorithms for automated interpretation of urinalysis dipsticks with low-cost image sensors","https://scispace.com/paper/evaluating-color-correction-algorithms-for-automated-35dvjl5k","2023","Proceedings Article","","Wenbo Wang
James W. Stafford
Andrew Miller
Rose M. Buchmann
Ethan Spencer
Angela Michelle T. San Juan
Jamie Purcell
Matthew D. Keller","10.1117/12.2653972","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Partially relevant: Uses low‑cost camera imaging to read dipstick colors, offering hardware design details; lacks true benchtop reflectance photometer integration.","Some medical diagnostic tools, such as urinalysis dipsticks, rely on reading colors accurately for making clinical decisions. Reading color visually can be subject to 1) perceptual differences (inter-observer), 2) environmental factors such as illumination, and 3) target coloring (metamerism), especially among users with limited training and experience. Mobile phone cameras and compact camera modules offer potential low-cost platforms for automated, objective color readouts. However, image colors are a function of camera sensor and illumination characteristics. To restore color fidelity, color correction techniques must be applied to account for systematic deviation. This work aims to provide a quantitative assessment of color correction techniques and reduce variability in color interpretation for urinalysis dipstick results using a low-cost imager. Three color correction methods – linear, polynomial, and root-polynomial regression – were compared for performance in color difference reduction. A standard color checker card was used as reference to compute color correction matrices. A custom imaging system with a low-cost camera module was developed to capture images under controlled illumination. Reference values of the color checker card were obtained with a CM-26d handheld spectrophotometer. The CIE2000 ∆E was used to quantify the color difference between the camera image and the spectrometer to evaluate 3 color correction algorithms. The derived color correction matrices were applied to urinalysis dipstick images and compared to the spectrometer readings. Results indicated that polynomial fitting showed the lowest ∆E during calibration but failed to properly correct urine dipstick colors. Root polynomial offered the best performance in reducing color differences to be below 3 to 4 ∆E. Utilizing L*a*b values for classifying a given dipstick result according to reference concentration levels, it was found that quadratic discriminant analysis (QDA) and k Nearest Neighbor (kNN) classifiers achieved an 82.9% and 97.1% accuracy, respectively.","","",""
"Comparison of the glucose concentration obtained from amperometry and reflectance photometry glucose meters used at primary care units in Phitsanulok, Thailand","https://scispace.com/paper/comparison-of-the-glucose-concentration-obtained-from-48gppdnzoh","2008","Journal Article","Point of Care: The Journal of Near-patient Testing & Technology","W. Boonlert","10.1097/01.POC.0000335905.90514.FC","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper focuses on glucose meters (amperometry vs reflectance photometry) and only briefly mentions urine dipstick testing; provides no benchtop analyzer, design details, or reflectance photometry application for urine dipsticks.","","","",""
"Diagnostic Accuracy of Dipstick Assay in Prediction 0f Urinary Tract Infection (Uti)","https://scispace.com/paper/diagnostic-accuracy-of-dipstick-assay-in-prediction-0f-2w5qjaikxw","2024","Journal Article","Journal of health and rehabilitation research","Saddam Hussain
Tamkeen Pervez
Kathryn Baksh
Muhammad Hamza Rizwan
Muhammad Dawood
Nayab Chaudhery","10.61919/jhrr.v4i1.381","https://scispace.compdf/diagnostic-accuracy-of-dipstick-assay-in-prediction-0f-2w5qjaikxw.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on clinical diagnostic accuracy of dipstick tests for UTI; provides no hardware, optical reflectance, or integration details required by the criteria.","Background: Urinary Tract Infections (UTIs) are a common and pressing health concern, particularly in emergency department (ED) settings. Rapid and accurate diagnosis is crucial for effective treatment and management. While urine culture is the gold standard for UTI diagnosis, urine dipstick assays offer a quicker, more accessible alternative. Objective: The aim of this study was to evaluate the diagnostic accuracy of urine dipstick assays in comparison with urine culture for UTI detection in an ED setting. Methods: This study was conducted at the ED of Combined Military Hospital, Rawalpindi, from January to June 2023. A total of 260 patients, comprising 70.4% females and 29.6% males with a mean age of 44.45 ± 14.93 years, were included. The study employed a nonprobability consecutive sampling technique. Inclusion criteria were patients aged 18 to 75 years presenting with UTI symptoms and no recent UTI treatment history. Exclusion criteria included patients outside the specified age range, those with indwelling urinary catheters, and patients already under UTI treatment. Urine samples were tested using both dipstick analysis and culture. Sensitivity, specificity, and predictive values of the dipstick test were calculated and compared with culture results. Results: The sensitivity and specificity of the urine dipstick test were found to be 71% and 61.3%, respectively. The positive predictive value (PPV) was 68.4%, and the negative predictive value (NPV) was 64%. Of the 260 patients, 146 (56.2%) had positive dipstick results, while 141 (54.2%) had positive urine culture results. The study observed a higher prevalence of UTI in females, with 80.9% of positive cultures coming from female patients. Conclusion: Urine dipstick assays, with reasonable sensitivity and specificity, can serve as a rapid screening tool for UTIs in ED settings, especially in resource-limited environments. However, for definitive diagnosis, especially in cases of negative dipstick results, urine culture remains essential. ","","",""
"A Community-Based IoT Personalized Wireless Healthcare Solution Trial","https://scispace.com/paper/a-community-based-iot-personalized-wireless-healthcare-a4komqvfwp","2018","Journal Article","IEEE Journal of Translational Engineering in Health and Medicine","Philip A. Catherwood
David Steele
Mike Little
Stephen McComb
James McLaughlin","10.1109/JTEHM.2018.2822302","https://scispace.com/pdf/a-community-based-iot-personalized-wireless-healthcare-a4komqvfwp.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses transmission‑based LED/photodetector optics, not reflectance, and is a portable reader rather than benchtop; provides modest hardware layout details but no reflectance methodology.","This paper presents an advanced Internet of Things point-of-care bio-fluid analyzer; a LoRa/Bluetooth-enabled electronic reader for biomedical strip-based diagnostics system for personalized monitoring. We undertake test simulations (technology trial without patient subjects) to demonstrate potential of long-range analysis, using a disposable test ‘key’ and companion Android app to form a diagnostic platform suitable for remote point-of-care screening for urinary tract infection (UTI). The 868 MHz LoRaWAN-enabled personalized monitor demonstrated sound potential with UTI test results being correctly diagnosed and transmitted to a remote secure cloud server in every case. Tests ranged over distances of 1.1–6.0 Km with radio path losses from 119–141 dB. All tests conducted were correctly and robustly received at the base station and relayed to the secure server for inspection. The UTI test strips were visually inspected for correct diagnosis based on color change and verified as 100% accurate. Results from testing across a number of regions indicate that such an Internet of Things medical solution is a robust and simple way to deliver next generation community-based smart diagnostics and disease management to best benefit patients and clinical staff alike. This significant step can be applied to any type of home or region, particularly those lacking suitable mobile signals, broadband connections, or even landlines. It brings subscription-free long-range bio-telemetry to healthcare providers and offers savings on regular clinician home visits or frequent clinic visits by the chronically ill. This paper highlights practical hurdles in establishing an Internet of Medical Things network, assisting informed deployment of similar future systems.","","",""
"Comparative Evaluation between Visual and Automated Dipstick Urinalyses in Dogs","https://scispace.com/paper/comparative-evaluation-between-visual-and-automated-dipstick-2773op3c","2023","Journal Article","Veterinary sciences","Labrini V. Athanasiou
Rania Baka
Zoe S. Polizopoulou","10.3390/vetsci10040284","https://scispace.com/pdf/comparative-evaluation-between-visual-and-automated-dipstick-2773op3c.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Compares visual vs automated dipstick reading in dogs; lacks benchtop reflectance system description or detailed hardware design, only briefly notes a commercial analyzer's use of reflectance.","Simple Summary The purpose of the current study was to compare visual and automated evaluations of dipstick variables in canine urine samples. Urine dipstick chemical reaction is based on the color change of a reagent when a specific substance is detected. The automated analysis of urine dipsticks has improved the accuracy and precision of the results. Abstract Urine test strips are commercially available and can be assessed with semi-automated analyzers or by visual assessment. This study aimed to compare the visual and automated evaluations of dipstick variables in canine urine samples. One hundred and nineteen urine samples were evaluated. Automated analysis was performed on a veterinary urine analyzer URIT-50Vet (URIT Medical Electronic) with UC VET13 Plus strips. Multistix 10 SG dipsticks (Siemens Healthcare GmbH, Erlangen, Germany) were used for visual evaluation, along with a refractometer (Clinical Refractometer Atago T2-Ne, Atago Co., Tokyo, Japan) for urine specific gravity measurements. A linear relationship was observed between the pH measurements (p = 0.2) of the two methods; the Passing–Bablok procedure was valid since neither proportional nor systematic significant errors were observed. Comparing the two methods, the correlation for urine specific gravity was poor (p = 0.01, CI 0.667–1.000). Moderate agreement was demonstrated for proteins (κ = 0.431), bilirubin (κ = 0.434) and glucose (κ = 0.450). Agreement was substantial for blood (κ = 0.620) and poor for leukocytes (κ = 0.100). Poor agreement was observed for ketones (κ = −0.006). Apart from the pH analysis, visual and automated dipstick urinalyses should not be used interchangeably. Multiple urine samples obtained from the same dog during the day should be evaluated using the same method to overcome erroneous results.","","",""
"Interpretation of urine dipstick results based on color similarity using linear interpolation curve fitting","https://scispace.com/paper/interpretation-of-urine-dipstick-results-based-on-color-dlumizet0m","2013","Proceedings Article","Computational Intelligence","Ratna Nur Tiara Shanty
R. V. Hari Ginardi
Riyanarto Sarno","10.1109/CYBERNETICSCOM.2013.6865777","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a color‑similarity algorithm for dipstick result interpretation; provides no benchtop hardware, optical reflectance photometry, or design details.","Automation of urine dipstick reagent results interpretation is influenced by color space selection and the method to determine color similarity between a tested color and the target color chart. Color similarity among colors can be evaluated by calculating their Euclidean distance in a color space; however it only calculates the distances between a tested color and a series of target color in a color chart, producing a stepwise quantification. It is not suitable if a value between two target colors should be estimated, producing a smoother quantification. This research enhances the method for urine dipstick color interpretation. A stepwise linear interpolation algorithm in CIELAB color space is used. It produces smoother quantification and a possibility to verify whether the tested reagent is belong to the certain color chart or not. A formula resulted from our algorithm can be easily implemented for interpreting the score of the tested reagent. The result of this automation method is evaluated by comparing the result with a visual interpretation and color interpretation by using Euclidean distance only. The result shows a promising method in an automation process for dipstick urinalysis.","","",""
"Ionophore-Based Optical Sensor for Urine Creatinine Determination.","https://scispace.com/paper/ionophore-based-optical-sensor-for-urine-creatinine-58ukamnslg","2019","Journal Article","ACS Sensors","Miguel M. Erenas
Inmaculada Ortiz-Gomez
Ignacio de Orbe-Payá
Daniel Hernández-Alonso
Pablo Ballester
Pascal Blondeau
Francisco J. Andrade
Alfonso Salinas-Castillo
Luis Fermín Capitán-Vallvey","10.1021/ACSSENSORS.8B01378","https://scispace.com/pdf/ionophore-based-optical-sensor-for-urine-creatinine-58ukamnslg.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a disposable ionophore‑based optode for creatinine, lacking benchtop integration or reflectance photometry; only sensor design details are somewhat applicable.","Creatinine is a metabolite present in urine, and its concentration is used to diagnose and monitor kidney performance. For that reason, the development of new sensors to analyze this metabolite and obtain accurate results in a short period of time is necessary. An optical disposable sensor for monitoring creatinine levels in urine is described. The system, based on a new aryl-substituted calix[4]pyrrole synthetic receptor, has an unusual coextraction scheme. Due to the low pKa values of creatininium (pKa 4.8), a careful selection of a lipophilic pH indicator that works in acid medium is required. The sensor components were optimized, and the new sensor displays a good response time to creatinine (approximately 3 min) over a wide dynamic range (from 1 × 10–5 to 1 × 10–2 M). Moreover, the optical selectivity coefficients obtained for creatinine over common cations present in urine meet the requirements for real sample measurements. With a good sensor-to-sensor reproducibility (RSD, 5.1–6.9% in the middle of...","","",""
"Robust dipstick urinalysis using a low-cost, micro-volume slipping manifold and mobile phone platform","https://scispace.com/paper/robust-dipstick-urinalysis-using-a-low-cost-micro-volume-234mjvxg1z","2016","Journal Article","Lab on a Chip","Gennifer T. Smith
Nicholas Dwork
Saara A. Khan
Matthew Millet
Kiran Magar
Mehdi Javanmard
Audrey K. Ellerbee Bowden","10.1039/C6LC00340K","https://scispace.com/pdf/robust-dipstick-urinalysis-using-a-low-cost-micro-volume-234mjvxg1z.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses a low‑cost acrylic slipping‑manifold and phone camera for dipstick analysis, providing detailed hardware design but lacking benchtop size and explicit reflectance photometry methodology.","We introduce a novel manifold and companion software for dipstick urinalysis that eliminate many of the aspects that are traditionally plagued by user error: precise sample delivery, accurate readout timing, and controlled lighting conditions. The proposed all-acrylic slipping manifold is reusable, reliable, and low in cost. A simple timing mechanism ensures results are read out at the appropriate time. Results are obtained by capturing videos using a mobile phone and by analyzing them using custom-designed software. We show that the results obtained with the proposed device are as accurate and consistent as a properly executed dip-and-wipe method, the industry gold-standard, suggesting the potential for this strategy to enable confident urinalysis testing in home environments.","","",""
"Peecheck 2.0: Design and Improvement of Rapid and Low-Cost Urine Analysis Device for Rural Health Care","https://scispace.com/paper/peecheck-2-0-design-and-improvement-of-rapid-and-low-cost-73mtfhn0u61i","2024","Journal Article","International journal of latest technology in engineering management & applied science","Rose Ann C. Estoquia.
Niña Nicole F. Galiza.
Jullean Jasper D. Historillo.
Teejay Marc C. Musca
Kristian Carlo B. Victorio","10.51583/ijltemas.2024.130902","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Portable PeeCheck 2.0 analyzes colorimetric strips via microcontroller; lacks benchtop form factor and explicit reflectance photometry, offers limited hardware design details.","Abstract: The research paper introduced improvements to PeeCheck, a portable urine analyzer, addressing the need for versatile, rapid, and low-cost urine analysis tools, particularly in resource-constrained rural healthcare settings. The focus was on evaluating the accuracy and speed of reading the urine strip and the electrical characteristics of the portable urine analyzer device across various parameters. PeeCheck 2.0 represented enhancements in medical diagnostics using urine as a non-invasive sample. By incorporating the integration of technologies such as versatility in using variations of urine strips and data cloud storage using the Raspberry Pi Pico W microcontroller, PeeCheck 2.0 was designed to analyze 14 colorimetric urine characteristics, aiding in the pre-diagnostic of health issues associated with kidney and metabolic-related diseases. The study evaluated PeeCheck 2.0's performance through the analysis of urine samples collected from 3rd- and 4th-year electrical engineering students and compared the results with those obtained from standard laboratory urinalysis. The findings highlighted PeeCheck 2.0's potential to enhance health outcomes and reduce healthcare disparities in rural communities by providing healthcare providers with a low-cost and reliable solution for rapid detection and addressing health concerns in areas with limited resources. The study findings demonstrated that PeeCheck 2.0 achieved significant accuracy and speed in analyzing urine samples across 10 colorimetric parameters compared to standard laboratory methods. PeeCheck 2.0 obtained an overall accuracy of 92.470 percent in its analyses. Results from the evaluation with urine samples collected from electrical engineering students showed a high correlation with laboratory urinalysis, validating PeeCheck 2.0's efficacy in detecting key indicators of kidney and metabolic-related diseases. However, continuous programming-based calibration optimized PeeCheck 2.0 by adjusting parameters in real-time with data and sensor feedback, ensuring consistent accuracy and reliability in urine parameter testing. This research underscored PeeCheck 2.0's role in advancing medical diagnostics through innovation in urine analysis technology, contributing to improved healthcare delivery and outcomes in rural and underserved communities. ","","",""
